101: Hà Nội
209: Lạng Sơn
803: Đồng Tháp
807: Tiền Giang
305
225
713
205
303
201
407
607
701
511
819
817
213
107
405
823
801
605
221
509
115
109
111
707
711
207
505
103
821
401
715
117
805
601
816
113
603
717
507
301
606
815
503
411
217
302
409
709
211
501
403
705
106
104
215
811
203
813
809
